	index	Datum uitspraak:	Datum publicatie:	Rechtsgebieden:	Bijzondere kenmerken:	Vindplaatsen:	Inhoudsindicatie:	Formele relaties:
151	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:9035&showbutton=true	24-10-2022	07-11-2022	Verbintenissenrecht	Kort geding	Rechtspraak.nl	KG. Geschil over welke arbeidsovk tussen partijen geldt en of gedaagde na einde ovk inbreuk maakt op bedingen mbt geheimhouding, documenten en non-concurrentie. Gevorderde inzage na bewijsbeslag en kosten afgewezen, onvoldoende bepaalbaar en dubbel.	
152	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:9414&showbutton=true	24-10-2022	07-11-2022	Arbeidsrecht	Kort geding	Rechtspraak.nl	Kort geding. Niet gevaccineerde werknemer vordrt tewerkstelling in het buitenland. Om diverse redenen geen concrete mogelijkheden voorhanden, dus geen spoed. Hoogte salaris zal bewezen moeten worden. Daar leent kort geding zich niet voor. Afwijzing.	
153	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:9453&showbutton=true	24-10-2022	07-11-2022	Civiel recht	Beschikking	Rechtspraak.nl	Oosv houdt geen stand; ‘druppel’ is niet komen vast te staan; in rechte wordt er niet van uitgegaan dat nevenwerkzaamhedenverbod is overtreden; wn is arbeidsongeschikt; voorwaardelijk ontbindingsverzoek niet toewijsbaar vanwege opzegverbod tijdens ziekte.	
154	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBMNE:2022:4448&showbutton=true	24-10-2022	09-11-2022	Personen- en familierecht	Beschikking	Rechtspraak.nl	Niet-ontvankelijkverklaring van verzoek benoeming vereffenaar. Verzoek van het Rijksvastgoedbedrijf. Verzoeker is geen belanghebbende.	
155	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:8850&showbutton=true	21-10-2022	26-10-2022	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	Bedrijfshuur. Conventie: vernietiging verstekvonnis, ontbinding en ontruiming afgewezen, huurschuld ingelopen. Reconventie: gedeeltelijke vernietiging huurovereenkomst afgewezen en ook geen huurprijsvermindering i.v.m. gebreken. Coronakorting toegewezen.	
156	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBLIM:2022:8183&showbutton=true	21-10-2022	26-10-2022	Personen- en familierecht	Beschikking	Rechtspraak.nl	Vaststelling ouderschap van in 2002 overleden persoon. Met een voldoende mate van zekerheid staat het verwekkerschap vast (zonder DNA onderzoek). IPR:  Wca en Boek 10 niet van toepassing, nu verzoekster is geboren in 1998.	
157	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:8721&showbutton=true	21-10-2022	26-10-2022	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	niet gebleken dat de oldtimer niet de kenmerken heeft die de koper op basis van de overeenkomst mocht verwachten, schade door beslag, koper moet gelegde beslag opheffen, verwijzing naar schadestaatprocedure voor verdere schade door beslag.	
158	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:8722&showbutton=true	21-10-2022	26-10-2022	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	niet is gebleken dat de oldtimer niet de kenmerken heeft die de koper op grond van de advertentie/overeenkomst mocht verwachten, dus niet kan worden gezegd dat gedaagde een slecht advies heeft gegeven en niet aan de opdracht heeft voldaan. opheffen beslag	
159	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:8853&showbutton=true	21-10-2022	26-10-2022	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	Huurzaak. Ontbinding huurovereenkomst. Ontruiming woning. Plus veroordelingen tot betaling.	
160	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:8869&showbutton=true	21-10-2022	26-10-2022	Civiel recht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	Gebondenheid fiscale clausule echtscheidingsconvenant.	
161	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:8870&showbutton=true	21-10-2022	26-10-2022	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	Ontbinding en ontruiming huurwoning toegewezen. Proceskosten uitgesplitst.	
162	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBROT:2022:8891&showbutton=true	21-10-2022	26-10-2022	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	verbintenissenrecht, consumentenrecht, herroepingsrecht 6:230oBW	
163	https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBDHA:2022:11098&showbutton=true	21-10-2022	26-10-2022	Insolventierecht	Eerste aanleg - enkelvoudig	Rechtspraak.nl	Afwijzing verzoek WSNP; niets meer vernomen van verzoekers; niet aannemelijk dat de WSNP-verplichtingen zullen worden nagekomen.	
