	Instantie	Datum uitspraak	Datum publicatie	Zaaknummer	Rechtsgebieden	Bijzondere kenmerken	Inhoudsindicatie	Vindplaatsen		Wetsverwijzingen	Formele relaties
295	Rechtbank Gelderland	14-10-2022	19-10-2022	C/05/399078 / ES RK 22-25 en C/05/403260 / FA RK 22-1311	Personen- en familierecht	"Eerste aanleg - enkelvoudig
Beschikking"	Echtscheiding, verdeling. Het huwelijksvermogensregime wordt beheerst door het Poolse recht. De vrouw wil de huwelijksgemeenschap bij helfte verdelen en vindt dat zo nodig het IJI kan worden ingeschakeld. De man vindt dat de zaak in Polen moet worden behandeld, omdat de inhoud casuïstisch van aard is. De Nederlandse rechter heeft hier geen ervaring mee. Hij vindt dat de verdeling in de verhouding 75% voor hem en 25% voor de vrouw dient plaats te vinden. De rechtbank houdt de zaak aan zodat partijen taxaties kunnen verrichten om inzicht te krijgen in de waardes van de vermogensbestanddelen en zodat zij een eventuele schikking kunnen beproeven.	Rechtspraak.nl	Verrijkte uitspraak		
296	Rechtbank Rotterdam	14-10-2022	19-10-2022	9818028 CV EXPL 22-11953	Verbintenissenrecht	Eerste aanleg - enkelvoudig	medische kosten bewusteloze, onverzekerde patient, informatieplicht, subsidieregeling medisch noodzakelijke zorg aan onverzekerden	Rechtspraak.nl	Verrijkte uitspraak		
297	Rechtbank Rotterdam	14-10-2022	19-10-2022	9529683 \ MB VERZ  21-2677	Verbintenissenrecht	Eerste aanleg - enkelvoudig	WAHV. Verzoek om proceskostenvergoeding afgewezen. Beroep is alleen (gedeeltelijk) gegrond verklaard vanwege ambtshalve verlaging sanctiebedrag. Vergelijking met overschrijding redelijke termijn.	Rechtspraak.nl	Verrijkte uitspraak		
298	Rechtbank Rotterdam	14-10-2022	19-10-2022	C/10/644511 / KG ZA 22-771	Verbintenissenrecht	Kort geding	Kort geding. Aanneming van werk. Opzegging. Overeengekomen werkzaamheden. Opschorting. Oplevering.	Rechtspraak.nl	Verrijkte uitspraak		
299	Rechtbank Amsterdam	14-10-2022	19-10-2022	10013107 CV EXPL 22-9676	Civiel recht	Eerste aanleg - enkelvoudig	Ontbinding en ontruiming toegewezen ondanks ontbreken melding besluit gemeentelijke schuldhulpverlening	Rechtspraak.nl	Verrijkte uitspraak		
300	Rechtbank Zeeland-West-Brabant	14-10-2022	19-10-2022	C/02/402175/HA RK 22-197	Civiel recht	Verschoning	Verschoning.	Rechtspraak.nl	Verrijkte uitspraak		
301	Rechtbank Rotterdam	14-10-2022	21-10-2022	9570738	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Tussenvonnis. Huurprijsvermindering op grond van gebreken. 7:257 BW. Uitlaten over hersteltermijn gebreken. Bewijsopdracht gevolgschade.	Rechtspraak.nl	Verrijkte uitspraak		
302	Rechtbank Rotterdam	14-10-2022	21-10-2022	9802246	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Tussenvonnis. Laag met luchtballon over schapen varen is onrechtmatige daad. Bewijsopdracht causaal verband en omvang schade.	Rechtspraak.nl	Verrijkte uitspraak		
303	Rechtbank Rotterdam	14-10-2022	21-10-2022	9796751	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Vorderingen afgewezen. Vorderingsgerechtigdheid en omvang van eventuele vordering zijn onvoldoende onderbouwd.	Rechtspraak.nl	Verrijkte uitspraak		
304	Rechtbank Rotterdam	14-10-2022	21-10-2022	9752156	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Premieachterstand, rauwelijks gedagvaard, buitengerechtelijke kosten	Rechtspraak.nl	Verrijkte uitspraak		
305	Rechtbank Rotterdam	14-10-2022	21-10-2022	9900636	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Ontvankelijkheid verzet, tenuitvoerlegging aangevangen	Rechtspraak.nl	Verrijkte uitspraak		
306	Rechtbank Overijssel	14-10-2022	21-10-2022	C/08/285564 / KG ZA 22-197	Civiel recht	Kort geding	Eiser vordert in dit kort geding betaling van een drietal facturen voor werkzaamheden die hij op grond van een overeenkomst van opdracht voor gedaagde heeft verricht. De voorzieningenrechter wijst de vorderingen af, omdat een spoedeisend belang ontbreekt.	Rechtspraak.nl	Verrijkte uitspraak		
307	Rechtbank Overijssel	14-10-2022	17-10-2022	10072748 \ CV EXPL  22-1955	Civiel recht	Kort geding	De beslissing in het korteiser heeft een woonwagenstandplaats aan het adres te woonplaats, zonder recht of titel, in gebruik genomen. Hij vordert in dit kort geding dat de gemeente wordt veroordeeld om een huurovereenkomst dan wel een toestemmingsverklaring aan hem te verstrekken, zodat hij nutsvoorzieningen kan aanvragen en gebruik kan maken van het sanitair gebouw. 1.2.De kantonrechter veroordeelt de gemeente tot het verstrekken van toestemming tot en met februari 2023, zodat eiser gebruik kan maken van de sanitaire voorzieningen en hij nutsvoorzieningen aan kan vragen. De kantonrechter oordeelt dat de (illegale) bewoning door eiser kwalificeert als ‘home’ in de zin van artikel 8 van het EVRM en dat de gemeente de positieve verplichting heeft om eiser te faciliteren bij het verkrijgen van sanitaire- en nutsvoorzieningen, om zo de winter door te komen. Concreet betekent dit dat de gemeente aan eiser een tijdelijke privaatrechtelijke toestemming voor het gebruik van de in gebruik genomen standplaats zal dienen te verlenen en de berging met sanitair voor hem zal moeten openstellen.	"Rechtspraak.nl 
Sdu Nieuws Huurrecht 2022/260"	Verrijkte uitspraak		
308	Rechtbank Rotterdam	14-10-2022	26-10-2022	9821999 CV EXPL 22-12183	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Woningruil. Twee huurders van dezelfde verhuurder vorderen over en weer een machtiging om de ander in zijn plaats als huurder te stellen. Vorderingen afgewezen omdat in ieder geval een van beide huurders geen zwaarwichtig belang heeft bij de woningruil.	Rechtspraak.nl	Verrijkte uitspraak		
309	Rechtbank Den Haag	14-10-2022	28-10-2022	C/09/636920 / KG ZA 22/899	Civiel recht	Kort geding	Kort geding. Vordering strafonderbreking voor bijwonen bevalling afgewezen. Weigering selectiefunctionaris niet evident onredelijk. Vluchtgevaar. Duurzame relatie niet aangetoond, Geen medische noodzaak voor aanwezigheid.	Rechtspraak.nl	Verrijkte uitspraak		
310	Rechtbank Zeeland-West-Brabant	14-10-2022	31-10-2022	C/02/400490 / JE RK 22-1421, C/02/401613 / JE RK 22-1642 en C/02/401614 / JE RK 22-1643	Personen- en familierecht	"Eerste aanleg - enkelvoudig
Beschikking"	“Verzoek plaatsing gesloten jeugdzorg afgewezen. Het is voldoende aannemelijk dat de jongere in de laatste twee maanden voor zijn achttiende levensjaar niet zal meewerken aan begeleiding. Beslissing na aanhouding om jongere in de gelegenheid te stellen te verschijnen ondanks vrees voor gesloten plaatsing.”	Rechtspraak.nl	Verrijkte uitspraak		
311	Rechtbank Limburg	14-10-2022	21-10-2022	C/03/310322 / JE RK 22-1794	Personen- en familierecht	Beschikking	Spoedbeschikking vervangende toestemming medische behandeling voor minderjarige verleend op grond van artikel 1:265h van het Burgerlijk Wetboekmet analoge toepassing van artikel 800, derde lid van het Wetboek van Burgerlijke Rechtsvordering en met inachtneming van het bepaalde in artikel 3 van het Verdrag inzake de rechten van het kind.	"Rechtspraak.nl 
GZR-Updates.nl 2022-0278 
PFR-Updates.nl 2022-0237"	Verrijkte uitspraak		
312	Rechtbank Rotterdam	14-10-2022	01-11-2022	C/10/636052 / FA RK 22-2236	Personen- en familierecht	Beschikking	Verzoek vervangende toestemming verhuizing afgewezen. De belangen van de minderjarige en de man worden onaanvaardbaar geschaad bij een verhuizing van de vrouw met de minderjarige naar een plaats ruim 100 kilometer verderop.	Rechtspraak.nl	Verrijkte uitspraak		
313	Rechtbank Rotterdam	14-10-2022	04-11-2022	FT RK 22-228	Insolventierecht	Eerste aanleg - enkelvoudig	Faillietverklaring. De rechtbank stelt vast dat de overeengekomen betalingsregelingen niet zijn nagekomen. Ook het niet betwiste deel van de vordering van verzoekster is niet voldaan. Tevens is gebleken van meerdere steunvorderingen. Voldoende aannemelijk is dat verweerster in toestand verkeert dat zij heeft opgehouden te betalen.	Rechtspraak.nl	Verrijkte uitspraak	Faillissementswet 1	
314	Rechtbank Rotterdam	14-10-2022	04-11-2022	9809847 CV  EXPL 22-11381	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Huurachterstand 230a-bedrijfsruimte. Aanwezigheid gebrek niet bekend bij verhuurder en ook tijdens procedure niet onderbouwd. Huurder niet gerechtigd tot opschorting volledige huurbetaling. Ontbinding en ontruiming toegewezen.	Rechtspraak.nl	Verrijkte uitspraak		
315	Rechtbank Amsterdam	14-10-2022	06-11-2022	CV 22-5725	Civiel recht	Eerste aanleg - enkelvoudig	bewindvoerder vordert einde huurovereenkomst ogv dringende eigen gebruik, verkoop woning om schuld af te lossen en zorg te bekostigen,  financieel belang geen bijzondere omstandigheid, vervreemding valt niet onder dringend eigen gebruik	Rechtspraak.nl	Verrijkte uitspraak		
316	Rechtbank Gelderland	14-10-2022	07-11-2022	9937759	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Koop appartement met een of twee parkeerplaatsen? Onvoldoende onderbouwd dat kopers schade lijden.	Rechtspraak.nl	Verrijkte uitspraak		
317	Rechtbank Rotterdam	14-10-2022	08-11-2022	10096769 en 9980472	Arbeidsrecht	Eerste aanleg - enkelvoudig	Spoorwissel van verzoekschrift naar dagvaarding; loondoorbetalingsverplichting bij oproepcontract, gemiddelde arbeidsomvang geschat op basis van twee maanden	Rechtspraak.nl	Verrijkte uitspraak		
318	Rechtbank Gelderland	14-10-2022	09-11-2022	C/05/398574 / FA RK 22-115	Personen- en familierecht	"Eerste aanleg - enkelvoudig
Beschikking"	Verzoek een latere vermelding toe te voegen aan geboorteakte van wijziging geslacht in “X”, danwel “waarvan het geslacht niet is kunnen worden vastgesteld”, zonder of met een deskundigenverklaring. De rechtbank acht een deskundigenverklaring nodig op grond van wetsartikel 1:28a lid 1 BW en omdat nog niet is beslist op het wetsvoorstel over het al dan niet schrappen of wijzigen van de deskundigenverklaring.	Rechtspraak.nl	Verrijkte uitspraak		
319	Rechtbank Rotterdam	13-10-2022	18-10-2022	C/10/644599 / KG ZA 22-776	Verbintenissenrecht	Kort geding	KG. Tuinders van glastuinbouwgebied vorderen nakoming van ovk met gedaagden tot levering van restwarmte. Beroep op overmacht faalt, beroep op onvoorziene omstandigheden slaagt vanwege de extreem hoge gasprijs door Europese energiecrisis. Volgt afwijzing.	Rechtspraak.nl	Verrijkte uitspraak		
320	Rechtbank Rotterdam	13-10-2022	18-10-2022	8659946	Verbintenissenrecht	Eerste aanleg - enkelvoudig	schade zoals door deskundige begroot. aanpassing rapport naar aanleiding vragen partijen geen aanleiding om te twijfelen aan onpartijdigheid deskundige. kosten deskundige 50%-50%.	Rechtspraak.nl	Verrijkte uitspraak		
321	Rechtbank Rotterdam	13-10-2022	18-10-2022	9744051 CV EXPL 22-1088	Verbintenissenrecht	Eerste aanleg - enkelvoudig	afwijzing buitengerechtelijke kosten	Rechtspraak.nl	Verrijkte uitspraak		
322	Rechtbank Oost-Brabant	13-10-2022	19-10-2022	C/01/384910 / KG ZA 22-441	Civiel recht	Kort geding	Kort geding. Executiegeschil. Vordering in kort geding op grond van artikel 438 Rv tot schorsing van een arbitraal eindvonnis waartegen een procedure tot vernietiging en herroeping is ingesteld. Summier onderzoek naar de mate van waarschijnlijkheid waarmee te verwachten is dat in de bodemzaak het arbitraal vonnis vernietigd dan wel herroepen zal worden op één of meer van de in artikel 1065 lid 1 Rv limitatief opgesomde gronden voor vernietiging of 1068 lid 1 Rv limitatief opgesomde gronden voor herroeping. Gronden voor herroeping zijn te summier onderbouwd. Gronden voor vernietiging slagen evenmin. Het arbitraal vonnis is voldoende met redenen omkleed. Voor het overige zijn slechts blote stellingen ingenomen, zonder deze in de dagvaarding of ter zitting voldoende concreet te onderbouwen, of op voldoende concrete wijze een beroep te doen op processtukken die de stellingen kunnen onderbouwen. Belangenafweging leidt evenmin tot schorsing van de executie.	Rechtspraak.nl	Verrijkte uitspraak		
323	Rechtbank Rotterdam	13-10-2022	19-10-2022	C/10/644552 / FT EA 22/802 - C/10/644553 / FT EA 22/803    C/10/644554 / FT EA 22/804 - C/10/644555 / FT EA 22/805	Insolventierecht	Eerste aanleg - enkelvoudig	toewijzing voorlopige voorziening, afsluiting energie	Rechtspraak.nl	Verrijkte uitspraak	Faillissementswet 287b	
324	Rechtbank Amsterdam	13-10-2022	20-10-2022	C/13/722360 / KG ZA 22-772	Civiel recht	"Eerste aanleg - enkelvoudig
Kort geding"	KG Verzoek buiten beschouwing laten e-mails uit bewijsbeslag ivm vertrouwelijkheid mediation afgewezen.	Rechtspraak.nl	Verrijkte uitspraak		
325	Rechtbank Limburg	13-10-2022	21-10-2022	C/03/308187 / KG ZA 22-310	Civiel recht	Kort geding	Artikel 705 lid 3 Rv jo. artikel 438 lid 6 Rv; eiseres niet-ontvankelijk verklaard in haar vordering tot opheffing van conservatoir beslag op het aandeel van haar ex-echtgenoot in een gemeenschappelijke woning, nu eiseres heeft verzuimd haar ex-echtgenoot mee te dagvaarden.	Rechtspraak.nl	Verrijkte uitspraak		
326	Rechtbank Rotterdam	13-10-2022	24-10-2022	10088897 VV EXPL 22-366	Civiel recht	Kort geding	Kort geding. Ontruiming woning na burgemeesterssluiting. Drugsgerelateerde activiteiten.	Rechtspraak.nl	Verrijkte uitspraak		
327	Rechtbank Zeeland-West-Brabant	13-10-2022	24-10-2022	C/02/401139 / JE RK 22-1547	Personen- en familierecht	Eerste aanleg - enkelvoudig	Ernstige ontwikkelingsbedreiging: hechtingsstoornis bij meisje van 10, wonend bij moeder; behandeling daarvan moet worden voortgezet; dat zou ook in vrijwillig kader kunnen. Daarnaast is positie van aan drugsverslaafde vader in leven van minderjarige onduidelijk; omgang loopt nu ongeregeld via grootouders vaderszijde; moeder heeft groot wantrouwen tegen vader, die ook met gezag is bekleed. Dit alles vraagt om aandacht van GI en beleid hierop: toets moment over drie maanden bij kinderrechter.	Rechtspraak.nl	Verrijkte uitspraak		
328	Rechtbank Rotterdam	13-10-2022	18-10-2022	9921135 CV EXPL 22-2317	Civiel recht	Eerste aanleg - enkelvoudig	huur bedrijfsruimte; betalingsachterstand; ontbind en ontruiming	Rechtspraak.nl	Verrijkte uitspraak		
329	Rechtbank Amsterdam	13-10-2022	28-10-2022	9571834 CV EXPL 21-17193	Civiel recht	Eerste aanleg - enkelvoudig	Dierenarts, die gespecialiseerd is in de behandeling van (spring)paarden, heeft ook de paarden van een bedrijf dat springpaarden trainde behandeld.	Rechtspraak.nl	Verrijkte uitspraak		
330	Rechtbank Oost-Brabant	13-10-2022	19-10-2022	9698775 22-878	Civiel recht	"Bodemzaak
Eerste aanleg - enkelvoudig"	7:658 BW en Regeling Tegemoetkoming Asbestslachtoffers.Verklaring voor recht dat wg aansprakelijk is voor alle schade, zowel materieel als immaterieel, die is voortgevloeid en in de toekomst zal voortvloeien uit de asbestblootstelling van wn tijdens de uitoefening van zijn werkzaamheden bij wg wordt toegewezen.SVB heeft gesteld en bewezen dat wn in de uitoefening van zijn werkzaamheden bij wg is blootgesteld aan asbest en dat wn lijdt aan de ziekte mesothelioom die aan asbestblootstelling te wijten is.Wg is niet geslaagd in de op haar rustende stelplicht dat zij heeft voldaan aan haar zorgplicht. Verder is niet aannemelijk dat wn (ook) buiten zijn werkzaamheden als wn bij wg is blootgesteld aan asbest.	"Rechtspraak.nl 
AR-Updates.nl 2022-1169 
PS-Updates.nl 2022-0659"	Verrijkte uitspraak		
331	Rechtbank Den Haag	13-10-2022	27-10-2022	10123115 \ RL EXPL 22-15770	Civiel recht	Proces-verbaal	Niet-ontvankelijk omdat het geen kantonzaak is	"Rechtspraak.nl 
Sdu Nieuws Huurrecht 2022/264"	Verrijkte uitspraak		
332	Rechtbank Den Haag	13-10-2022	02-11-2022	C/09/633825 / KG ZA 22-741	Civiel recht	Kort geding	Kort geding. Europese openbare aanbesteding. Uitleg van een gestelde eis. Geen gerede twijfel of de winnaar daaraan heeft voldaan. Afwijzing vorderingen.	Rechtspraak.nl	Verrijkte uitspraak		
333	Rechtbank Limburg	13-10-2022	04-11-2022	C/03/309463 / JE RK 22/1638	Personen- en familierecht	Beschikking	Afwijzing verzoek machtiging tot uithuisplaatsing. De GI heeft géén uitvoering gegeven aan de vorige beschikking van de kinderrechter waarin is bepaald dat de GI binnen twee maanden een thuisplaatsing van de minderjarige moet hebben gerealiseerd. De GI heeft dit tijdens de mondelinge behandeling erkend en heeft verklaard dat dit niet is gebeurd, omdat de betrokken gezinsvoogdijwerker die deze taak voor zijn of haar rekening moest nemen niet goed functioneerde. Nog afgezien van het feit dat rechterlijke beschikkingen moeten worden uitgevoerd, óók door de GI, behoeft het geen betoog dat deze gang van zaken alles behalve in het belang van minderjarige en de moeder is. Sterker nog, de kinderrechter acht deze gang van zaken uiterst kwalijk. Ouders en kinderen mogen niet de dupe zijn van niet goed functionerende gezinsvoogdijwerkers. Ook is niet duidelijk is geworden waarom de GI de afgelopen maanden geen werk heeft gemaakt van de opbouw en uitbreiding van het contact tussen de minderjarige en de moeder. De kinderrechter acht deze gang van zaken, nu niet is gesteld of gebleken dat een gegronde reden bestond voor deze vergaande beperking van het contact, evenmin in het belang van de minderjarige. Verzoek nagenoeg volledig gebaseerd op gedateerde informatie en onvoldoende onderbouwd.	Rechtspraak.nl	Verrijkte uitspraak		
334	Rechtbank Overijssel	13-10-2022	04-11-2022	C/08/285568 / FA RK 22-2204	Personen- en familierecht	Beschikking	De ouders van de minderjarige zijn woonachtig op de Nederlandse Antillen.De minderjarige woont in verband met haar studie sinds 15 augustus 2022 in het gezin van de tante in Nederland.De raad verzoekt om een tijdelijk voogd te benoemen over de minderjarige gebaseerd op artikel 1:253q juncto artikel 1:253r BW en stelt voor om de tante tot tijdelijk voogd te benoemen Alles overwegende en in onderlinge samenhang bezien, is de rechtbank van oordeel dat de ouders niet in de onmogelijkheid verkeren om het gezag uit te oefenen. Het verzoek van de raad zal daarom worden afgewezen.	Rechtspraak.nl	Verrijkte uitspraak		
335	Rechtbank Den Haag	12-10-2022	12-10-2022	634063	Verbintenissenrecht	Kort geding	inzake KG ZA 22/758.Bestuurders lokale politieke partij onrechtmatig geschorst. Ook besluiten ledenvergadering mogen vanwege onregelmatigheden niet worden uitgevoerd.	Rechtspraak.nl	Verrijkte uitspraak		
336	Rechtbank Den Haag	12-10-2022	12-10-2022	635020	Verbintenissenrecht	Kort geding	KG ZA 22/822. Kort Geding tegen Staat over directe opheffing voorlopige hechtenis nadat een strafzitting waarnaar pro forma was verwezen niet op de aangegeven datum doorgang had gevonden	Rechtspraak.nl	Verrijkte uitspraak		
337	Rechtbank Rotterdam	12-10-2022	13-10-2022	C/10/634429 / HA ZA 22-193	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Transactie verhuurd commercieel vastgoed. Wel of geen koopovereenkomst tot stand gekomen? Overeengekomen opschortende voorwaarden zijn zuiver potestatief. Doorgaan transactie volledig afhankelijk van de wil van koper. Koper heeft zich daarmee niet willen binden en er komt dan ook geen koopovereenkomst tot stand. Ook geen onrechtmatig afgebroken onderhandelingen door verkopers. Niet ondertekenen LOI, onbereikbaar zijn en object ondertussen aan een derde verkopen verdient niet de schoonheidsprijs maar is in de gegeven omstandigheden niet onrechtmatig.	Rechtspraak.nl	Verrijkte uitspraak		
338	Rechtbank Noord-Nederland	12-10-2022	13-10-2022	211533	Civiel recht	"Bodemzaak
Eerste aanleg - enkelvoudig
Proceskostenveroordeling
Op tegenspraak"	Verbintenissenrecht. Beroep op dwaling en bedrog afgewezen.	Rechtspraak.nl	Verrijkte uitspraak		
339	Rechtbank Oost-Brabant	12-10-2022	14-10-2022	C/01/382734 / FA RK 22-2430	Personen- en familierecht	Beschikking	Aansprakelijkstelling van de instelling door het niet in acht nemen van de wet door de geneesheer-directeur en door het verlenen van verplichte zorg zonder, naar achteraf is gebleken, juridische titel. Nu de rechtbank in de schadevergoedingszaak ten laste van de Staat een billijke schadevergoeding heeft vastgesteld, is er voor de rechtbank geen aanleiding om ook een schadevergoeding vast te stellen ten laste van de instelling. De rechtbank zal dat verzoek dan ook afwijzen.	Rechtspraak.nl	Verrijkte uitspraak	Wet verplichte geestelijke gezondheidszorg	
340	Rechtbank Gelderland	12-10-2022	14-10-2022	C/05/395814 / HZ ZA 21-379	Burgerlijk procesrecht	Verzet	Vervolg op ECLI:NL:RBGEL:2022:2275. Notariële akte ex. art. 2:334n BW door HMM in geding gebracht, maar daaruit onvoldoende duidelijk dat de aanspraken op IP zijn overgegaan op HMM. Verzet gegrond, alsnog afwijzing vorderingen.	Rechtspraak.nl	Verrijkte uitspraak		
341	Rechtbank Overijssel	12-10-2022	14-10-2022	10052487 \ CV EXPL  22-2860	Civiel recht	"Kort geding
Tussenuitspraak"	De zaak gaat over de vraag of huurster (die onder bewindvoering staat) moet worden veroordeeld om haar woning te ontruimen en te verlaten. Eiseres vordert ontruiming van de woning, omdat huurster r overlast veroorzaakt en daarmee is tekortgeschoten in de nakoming van haar verplichtingen uit de huurovereenkomst. Zaak wordt drie maanden aangehouden. In die tijd kan huurster waarmaken dat zij haar ex-vriend buiten de deur kan houden en de overlast voor omwonenden kan staken. Eiseres heeft dan de gelegenheid om (eventueel) te onderbouwen dat de overlast blijft voortduren en dat de noodzaak van een spoedeisende beslissing over een ontruiming aanwezig is.	Rechtspraak.nl	Verrijkte uitspraak		
342	Rechtbank Amsterdam	12-10-2022	14-10-2022	C/13/707761 / HA ZA 21-858	Civiel recht	Eerste aanleg - enkelvoudig	De gemeente Amsterdam moet een vrouw met twee kinderen en een bijstandsuitkering, die haar particuliere huurwoning in 2017 heeft verlaten vanwege gepest door haar buren, een passende woning aanbieden.	Rechtspraak.nl	Verrijkte uitspraak		
343	Rechtbank Rotterdam	12-10-2022	17-10-2022	C/10/636959 / HA ZA 22-334	Civiel recht	Eerste aanleg - enkelvoudig	Verdeling van de gemeenschappelijke woning	Rechtspraak.nl	Verrijkte uitspraak		
344	Rechtbank Noord-Holland	12-10-2022	17-10-2022	C/15/313687 / HA ZA 21-110	Verbintenissenrecht	Bodemzaak	tussenvonnis, benoeming deskundige	Rechtspraak.nl	Verrijkte uitspraak		
345	Rechtbank Oost-Brabant	12-10-2022	18-10-2022	C/01/311473 / HA ZA 16-536, C/01/311480 / HA ZA 16-539 en C/01/311484 / HA ZA 16-540	Civiel recht	"Eerste aanleg - meervoudig
Tussenuitspraak"	Tussenvonnis. Mededingingsrecht. Beeldbuizenkartel. Beoordeling naar Braziliaans recht. Invloed kartel op de mededinging in Brazilië. Overcharge niet gemotiveerd betwist. Mogelijkheid van umbrella damages is aannemelijk. Verwerping doorberekeningsverweer (passing-on). Wettelijke rente naar Braziliaans recht, vaststelling tarief en ingangsdatum. Inflatiecorrectie, vaststelling toepasselijke index en ingangsdatum. Hoofdelijke aansprakelijkheid naar Braziliaans recht.	Rechtspraak.nl	Verrijkte uitspraak		
346	Rechtbank Oost-Brabant	12-10-2022	18-10-2022	C/01/384905 / KG ZA 22-440	Civiel recht	Kort geding	onrechtmatige perspublicatie; inbreuk op persoonlijke levenssfeer; publieke figuur; afweging van grondrechten	Rechtspraak.nl	Verrijkte uitspraak		
347	Rechtbank Rotterdam	12-10-2022	18-10-2022	C/10/622275 / HA ZA 21-632	Ondernemingsrecht	Eerste aanleg - enkelvoudig	Vordering jegens vennootschap tot nakoming van verbintenis op grond van leningsovereenkomst en vordering op grond van onverschuldigde betaling toegewezen. Sprake van bestuurdersaansprakelijkheid met betrekking tot de onverschuldigde betaling.	Rechtspraak.nl	Verrijkte uitspraak		
348	Rechtbank Den Haag	12-10-2022	18-10-2022	C/09/606529 / HA ZA 21-110	Intellectueel-eigendomsrecht	"Bodemzaak
Eerste aanleg - meervoudig"	Octrooirecht. Beschermingsomvang octrooi. Uitleg conclusie kenmerk in het licht van beschrijving en figuren. Het Sonos systeem valt niet onder beschermingsomvang van het octrooi, dus maakt geen inbreuk.	Rechtspraak.nl	Verrijkte uitspraak		
349	Rechtbank Overijssel	12-10-2022	18-10-2022	C/08/283844 /KG ZA 22-150	Civiel recht	Kort geding	De vordering van eiser om het de gedaagde te verbieden om op een andere plek dan bij de oprit die op de schets met een pijl is aangegeven, wegdeel B op en af te rijden zal, net als de vordering om de gedaagde te verbieden de toegang voor wat anders te gebruiken dan ten behoeve van perceel [1] , worden afgewezen. De redenen daarvoor zijn dat in het kader van dit kort geding niet kan worden vastgesteld waar die pijl/toegang zich precies bevindt en dat het enkel toestaan voor gebruik ten behoeve van perceel [1] een beperking van de erfdienstbaarheid zou betekenen. Het gevorderde verbod om campers toe te laten tot de camperplaats zolang niet is voldaan aan de voorwaarden waaronder de omgevingsvergunning is verleend, wordt afgewezen omdat in dit kort geding niet kan worden vastgesteld of inderdaad in strijd met die voorwaarden is gehandeld en omdat de door eiser gevreesde overlast of onrechtmatige hinder door het gebruik van de camperplaats door hem niet is geconcretiseerd.	Rechtspraak.nl	Verrijkte uitspraak		
350	Rechtbank Zeeland-West-Brabant	12-10-2022	18-10-2022	9681267 CV EXPL 22-439	Civiel recht	Bodemzaak	Vordering over onbetaald gebleven facturen. Overeenkomst van opdracht, waarbij eiser werkzaamheden (in de bouw) heeft verricht voor gedaagde. 1e factuur heeft eiser niet aan stelplicht voldaan, overige facturen zijn toewijsbaar.	Rechtspraak.nl	Verrijkte uitspraak		
351	Rechtbank Gelderland	12-10-2022	18-10-2022	C/05/402803 / ES RK 22-124 en C/05/406281 / FA RK 22-2133	Personen- en familierecht	"Eerste aanleg - enkelvoudig
Op tegenspraak
Beschikking"	Echtscheiding, kinderalimentatie. De rechtbank wijkt af van de uitgangspunten van de Expertgroep Alimentatie, omdat die uitkomst onredelijk is. Partijen hebben een aanzienlijk tekort in draagkracht om in de behoefte van de kinderen te kunnen voorzien. De man heeft slechts twee uur omgang per twee weken met de kinderen. Het tekort in de behoefte zou dan ook volledig op de schouders van de vrouw terechtkomen, terwijl zij ook weinig draagkracht heeft. Beide partijen krijgen een aanzienlijk vermogen uit de verkoop van hun woning. De rechtbank ziet daarom aanleiding om het tekort in de behoefte gelijk tussen partijen te verdelen. Beide partijen dienen dan ook in te teren op het vermogen om de kosten van de kinderen te kunnen voldoen.	Rechtspraak.nl	Verrijkte uitspraak		
352	Rechtbank Gelderland	12-10-2022	19-10-2022	C/05/395280 / HZ ZA 21-363	Verbintenissenrecht	"Eerste aanleg - enkelvoudig
Op tegenspraak"	Verzekeringsfraudezaak. Gestelde toedracht aanrijding is niet komen vast te staan. Meerdere (partij)deskundigenrapporten. Vorderingen om dekking te verlenen en registraties te verwijderen, worden afgewezen. In reconventie toewijzing onderzoekskosten.	Rechtspraak.nl	Verrijkte uitspraak		
353	Rechtbank Gelderland	12-10-2022	19-10-2022	C/05/392946 / HA ZA 21-451	Verbintenissenrecht	"Eerste aanleg - enkelvoudig
Op tegenspraak
Tussenuitspraak"	Franchiseovereenkomst. Wanprestatie. Dwaling/onrechtmatig handelen als gevolg van onjuiste indicatibegroting/prognose door franchisegever.. 6:228 BW, 7:913 BW. Contractsovername. Tussenvonnis met bewijsopdracht.	Rechtspraak.nl	Verrijkte uitspraak		
354	Rechtbank Gelderland	12-10-2022	19-10-2022	C/05/399017 / HA ZA 22-44	Verbintenissenrecht	"Eerste aanleg - enkelvoudig
Op tegenspraak"	Kwalificatie overeenkomst als bruikleen. Gebruik woning om niet en van tijdelijke aard. Niet gebleken dat pachtprijs uit aanverwante overeenkomst tevens zag op gebruik woning. Toewijzing vordering tot ontruiming, matiging boete en afwijzing dwangsom.	Rechtspraak.nl	Verrijkte uitspraak		
