	Instantie	Datum uitspraak	Datum publicatie	Zaaknummer	Rechtsgebieden	Bijzondere kenmerken	Inhoudsindicatie	Vindplaatsen		Wetsverwijzingen	Formele relaties
25	Rechtbank Amsterdam	02-11-2022	04-11-2022	C/13/711768 / HA ZA 21-1105	Civiel recht	Eerste aanleg - enkelvoudig	Blokker B.V. moet bijna 125.000 euro schadevergoeding betalen aan de voormalig exploitant van een Blokkerfiliaal. Dat heeft de rechtbank geoordeeld.	Rechtspraak.nl	Verrijkte uitspraak		
26	Rechtbank Amsterdam	02-11-2022	04-11-2022	C/13/720872 / KG RK 22-1103 AB/MB	Civiel recht	Kort geding	De voorzieningenrechter heeft een verzoek van een Russische schuldeiser om aandelen over te dragen voor 1 euro, afgewezen.	Rechtspraak.nl	Verrijkte uitspraak		
27	Rechtbank Rotterdam	02-11-2022	07-11-2022	C/10/645244 / KG ZA 22-813	Civiel recht	Kort geding	Kort geding. Contactverbod in conventie en reconventie gevorderd. Vorderingen over en weer afgewezen. De buurtgenoten moeten in staat zijn om elkaar, zoals in de mediation afgesproken, te negeren en uit te gaan van leven en laten leven.	Rechtspraak.nl	Verrijkte uitspraak		
28	Rechtbank Zeeland-West-Brabant	02-11-2022	07-11-2022	C/02/398281/ FA RK 22-2503	Personen- en familierecht	"Eerste aanleg - enkelvoudig
Beschikking"	Verzoek wijziging partneralimentatie. Wijziging van omstandigheden omdat vrouw geen informatie heeft verstrekt over haar inspanningsverplichting. Onvoldoende onderbouwing dat gezondheidsklachten haar beperken. Fictief inkomen leidt tot een verlaging van de partneralimentatie.	Rechtspraak.nl	Verrijkte uitspraak		
29	Rechtbank Amsterdam	02-11-2022	07-11-2022	C/13/711123 / HA ZA 21-1075	Personen- en familierecht	Eerste aanleg - enkelvoudig	Verzekerinsrecht, erfrecht, huwelijksgoederenrecht. Ex-echtgenoot was gerechtigd overlijdensrisicoverzekering te veranderen ORV is geen boedelbestanddeel van de huwelijksgemeenschap.	Rechtspraak.nl	Verrijkte uitspraak		
30	Rechtbank Noord-Holland	02-11-2022	07-11-2022	322939 / HA ZA 21-642	Civiel recht	Bodemzaak	Oud-fractievoorzitter Forza! in de gemeenteraad Haarlemmermeer heeft rekening-courant verhouding onderhouden met de bankrekening. Hij wordt verantwoordelijk gehouden voor het kastekort en moet de door de gemeente  teruggevorderde fractievergoeding voldoen	Rechtspraak.nl	Verrijkte uitspraak		
31	Rechtbank Noord-Holland	02-11-2022	07-11-2022	9325058	Verbintenissenrecht	Bodemzaak	Vervroegde aankomst, Montreal toch van toepassing want niet gebleken dat de passagiers na annulering alsnog zonder vertraging op de eindbestemming hadden kunnen aankomen. Vervoerder heeft niet de mogelijkheid gehad een alternatieve vlucht te regelen.	Rechtspraak.nl	Verrijkte uitspraak		
32	Rechtbank Noord-Nederland	02-11-2022	08-11-2022	185981	Personen- en familierecht	"Eerste aanleg - enkelvoudig
Op tegenspraak"	1:253ha BW. Meerderjarig verklaring. Gezag van rechtswege na meerderjarig verklaring.	Rechtspraak.nl	Verrijkte uitspraak		
33	Rechtbank Gelderland	02-11-2022	09-11-2022	C/05/399948 / HA ZA 22-76	Verbintenissenrecht	"Eerste aanleg - enkelvoudig
Op tegenspraak
Tussenuitspraak"	Geschil onderaannemer - hoofdaannemer. Omvang opdracht. Meerwerk en nakoming waarschuwingsverplichting (7:755 BW). Bewijsopdracht aan onderaannemer.	Rechtspraak.nl	Verrijkte uitspraak		
34	Rechtbank Gelderland	02-11-2022	09-11-2022	C/05/386266 / HA ZA 21-171	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Afnemer is boete verschuldigd vanwege tussentijds annuleren overeenkomst voor leveren en installeren zonnepanelen. Geen sprake van opzegging door leverancier of beëindiging met wederzijds goedvinden. Uitleg boetebepaling AV. Matiging boete.	Rechtspraak.nl	Verrijkte uitspraak		
